image_path,message_id,channel,detected_objects,confidence_scores,image_category
images/tikvahpharma/190538.jpg,190538,tikvahpharma,scissors;scissors;scissors,0.907;0.627;0.558,product_display
images/tikvahpharma/190534.jpg,190534,tikvahpharma,tv,0.250,product_display
images/tikvahpharma/190643.jpg,190643,tikvahpharma,scissors;scissors;scissors,0.907;0.627;0.558,product_display
images/tikvahpharma/190642.jpg,190642,tikvahpharma,,,other
images/tikvahpharma/190711.jpg,190711,tikvahpharma,bottle;refrigerator,0.941;0.536,product_display
images/tikvahpharma/190531.jpg,190531,tikvahpharma,bird,0.541,other
images/tikvahpharma/190681.jpg,190681,tikvahpharma,person,0.450,lifestyle
images/tikvahpharma/190695.jpg,190695,tikvahpharma,bird,0.541,other
images/tikvahpharma/190537.jpg,190537,tikvahpharma,,,other
images/tikvahpharma/190669.jpg,190669,tikvahpharma,,,other
images/tikvahpharma/190564.jpg,190564,tikvahpharma,,,other
images/tikvahpharma/190600.jpg,190600,tikvahpharma,bird,0.541,other
images/tikvahpharma/190680.jpg,190680,tikvahpharma,tv;person,0.333;0.292,promotional
images/tikvahpharma/190641.jpg,190641,tikvahpharma,,,other
images/CheMed123/79.jpg,79,CheMed123,,,other
images/CheMed123/44.jpg,44,CheMed123,cell phone;person,0.939;0.848,promotional
images/CheMed123/17.jpg,17,CheMed123,bottle;bottle;bottle;bottle;bottle;bottle;bottle;bottle;bottle;bottle;bottle,0.526;0.495;0.432;0.387;0.385;0.380;0.375;0.326;0.285;0.279;0.272,product_display
images/CheMed123/60.jpg,60,CheMed123,,,other
images/CheMed123/49.jpg,49,CheMed123,kite;kite;kite;frisbee,0.680;0.403;0.345;0.325,other
images/CheMed123/39.jpg,39,CheMed123,mouse;mouse;mouse;mouse;mouse;mouse;mouse;mouse,0.911;0.902;0.893;0.624;0.594;0.555;0.526;0.414,product_display
images/CheMed123/23.jpg,23,CheMed123,cell phone,0.611,product_display
images/CheMed123/11.jpg,11,CheMed123,clock,0.427,other
images/CheMed123/30.jpg,30,CheMed123,person,0.414,lifestyle
images/CheMed123/43.jpg,43,CheMed123,person;chair,0.856;0.294,lifestyle
images/CheMed123/55.jpg,55,CheMed123,stop sign,0.307,other
images/CheMed123/22.jpg,22,CheMed123,stop sign,0.278,other
images/CheMed123/27.jpg,27,CheMed123,,,other
images/CheMed123/53.jpg,53,CheMed123,person,0.574,lifestyle
images/CheMed123/3.jpg,3,CheMed123,,,other
images/CheMed123/21.jpg,21,CheMed123,bird,0.253,other
images/CheMed123/9.jpg,9,CheMed123,bottle,0.387,product_display
images/CheMed123/19.jpg,19,CheMed123,person;person;dining table;dining table,0.940;0.928;0.362;0.322,lifestyle
images/CheMed123/2.jpg,2,CheMed123,bottle,0.387,product_display
images/CheMed123/15.jpg,15,CheMed123,,,other
images/CheMed123/85.jpg,85,CheMed123,,,other
images/CheMed123/26.jpg,26,CheMed123,person;cup;book;book,0.828;0.427;0.318;0.313,promotional
images/CheMed123/82.jpg,82,CheMed123,bottle;bottle;bottle;apple,0.899;0.842;0.740;0.478,product_display
images/CheMed123/81.jpg,81,CheMed123,bottle;bottle;bottle;bottle;bottle,0.882;0.833;0.822;0.804;0.762,product_display
images/CheMed123/46.jpg,46,CheMed123,person;person;tv,0.827;0.475;0.389,promotional
images/CheMed123/75.jpg,75,CheMed123,person,0.835,lifestyle
images/CheMed123/95.jpg,95,CheMed123,person;person,0.868;0.492,lifestyle
images/CheMed123/77.jpg,77,CheMed123,bottle;bottle;bottle;bottle,0.956;0.907;0.896;0.894,product_display
images/CheMed123/45.jpg,45,CheMed123,scissors,0.632,product_display
images/CheMed123/33.jpg,33,CheMed123,orange;orange;book,0.671;0.576;0.272,product_display
images/CheMed123/88.jpg,88,CheMed123,,,other
images/CheMed123/74.jpg,74,CheMed123,,,other
images/CheMed123/32.jpg,32,CheMed123,person,0.588,lifestyle
images/CheMed123/97.jpg,97,CheMed123,,,other
images/CheMed123/96.jpg,96,CheMed123,cup,0.326,product_display
images/CheMed123/91.jpg,91,CheMed123,,,other
images/CheMed123/18.jpg,18,CheMed123,,,other
images/CheMed123/48.jpg,48,CheMed123,,,other
images/CheMed123/94.jpg,94,CheMed123,cup;person;cup,0.741;0.476;0.386,promotional
images/CheMed123/10.jpg,10,CheMed123,,,other
images/CheMed123/13.jpg,13,CheMed123,hot dog;donut;hot dog;donut;hot dog;hot dog,0.504;0.399;0.310;0.297;0.264;0.250,other
images/CheMed123/38.jpg,38,CheMed123,,,other
images/CheMed123/64.jpg,64,CheMed123,person;person;banana;remote,0.686;0.440;0.281;0.256,promotional
images/CheMed123/76.jpg,76,CheMed123,person;chair;chair,0.869;0.272;0.252,lifestyle
